"","time","metric2","incidence_rate"
"334",2010,"Dysentery",18.898661869206
"335",2009,"Dysentery",20.4478095363382
"336",2008,"Dysentery",23.6527938605454
"337",2007,"Dysentery",27.994568787998
"338",2006,"Dysentery",32.3604292823569
"339",2005,"Dysentery",35.1217839034884
"340",2004,"Dysentery",38.3019201772471
"341",2023,"Dengue Fever",1.3861
"342",2022,"Dengue Fever",0.04
"343",2021,"Dengue Fever",0.0029
"344",2020,"Dengue Fever",0.0554
"345",2019,"Dengue Fever",1.5887
"346",2018,"Dengue Fever",0.3697
"347",2017,"Dengue Fever",0.427079134500921
"348",2016,"Dengue Fever",0.149549411271386
"349",2015,"Dengue Fever",0.283162886817183
"350",2014,"Dengue Fever",3.45816749295992
"351",2013,"Dengue Fever",0.344376827863283
"352",2012,"Dengue Fever",0.042676364842621
"353",2011,"Dengue Fever",0.00894914650185067
"354",2010,"Dengue Fever",0.0167073736831727
"355",2009,"Dengue Fever",0.0229665216058241
"356",2008,"Dengue Fever",0.0152880896699438
"357",2007,"Dengue Fever",0.0410049202861307
"358",2006,"Dengue Fever",0.0798433778839243
"359",2005,"Dengue Fever",0.00307720742745895
"360",2004,"Dengue Fever",0.0190017540080623
"361",2023,"Pertussis",2.9171
"362",2022,"Pertussis",2.71
"363",2021,"Pertussis",0.6817
"364",2020,"Pertussis",0.3187
"365",2019,"Pertussis",2.1501
"366",2018,"Pertussis",1.5878
"367",2017,"Pertussis",0.752986968855349
"368",2016,"Pertussis",0.40735800611679
"369",2015,"Pertussis",0.488672498815138
"370",2014,"Pertussis",0.251481623762534
"371",2013,"Pertussis",0.126436442054888
"372",2012,"Pertussis",0.162021746872073
"373",2011,"Pertussis",0.187708347876318
"374",2010,"Pertussis",0.132160570300971
"375",2009,"Pertussis",0.121383714192093
"376",2008,"Pertussis",0.18065678238691
"377",2007,"Pertussis",0.219174722345719
"378",2006,"Pertussis",0.194790309837505
"379",2005,"Pertussis",0.295719633778805
"380",2004,"Pertussis",0.361956488291227
"381",2023,"Hepatitis",90.6879
"382",2022,"Hepatitis",78.4
"383",2021,"Hepatitis",86.9757
"384",2020,"Hepatitis",81.1188
"385",2019,"Hepatitis",92.1343
"386",2018,"Hepatitis",92.1472
"387",2017,"Hepatitis",93.0198357291746
"388",2016,"Hepatitis",89.1080318684689
"389",2015,"Hepatitis",89.4661141094499
"390",2014,"Hepatitis",90.2486229388727
"391",2013,"Hepatitis",92.454580366902
"392",2012,"Hepatitis",102.482651434245
"393",2011,"Hepatitis",102.344229224465
"394",2010,"Hepatitis",98.7444743573779
"395",2009,"Hepatitis",107.304106946661
"396",2008,"Hepatitis",106.537096322533
"397",2007,"Hepatitis",108.440744923226
"398",2006,"Hepatitis",102.087788849384
